date,datatype,value
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.3
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,1.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.5
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.8
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,1.5
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
2022-08-01T00:00:00,SNOW,0.0
2022-08-01T00:00:00,PRCP,0.0
